subject_id,subject_name
848,African American women Alabama Wilcox County Exhibitions
849,Quilts Alabama Wilcox County History Exhibitions
850,Tinwood Alliance Exhibitions
851,Architecture Portugal
852,Architecture Africa
853,Architecture Domestic California Los Angeles
854,Church architecture California
855,Franzen Ulrich 1921
856,Boy Scouts
857,Boy Scouts Juvenile literature
858,Scouting Youth activity
859,Scouting Youth activity Juvenile literature
860,Scouts and scouting
861,Scouts and scouting Juvenile literature
862,African American art African influences Exhibitions
863,African American art European influences Exhibitions
864,African American art Exhibitions
865,African American decorative arts Exhibitions
866,Architecture Modern History
867,Architecture Sweden
868,Housing Sweden
869,Architecture Finland
870,Church architecture Finland
871,Architecture Denmark
872,Architecture Florida Miami Beach 20th century
873,Architecture Florida Miami Beach History 20th century
874,Art American Florida Miami Beach 20th century
875,Art deco Florida Miami Beach
876,Behaviorism Political science
877,Organizational behavior
878,Rational choice theory
879,Washington Authors Collection
880,Architecture West U S 19th century
881,Architecture West U S History 19th century
882,Historic buildings West U S
883,National parks and reserves West U S
884,Art and state China
885,Art Chinese Qin Han dynasties 221 B C 220 A D
886,Art Chinese Three kingdoms Sui dynasty 220 618
887,Art Chinese To 221 B C
888,Public art China
889,Symbolism in art China
890,Lighthouses
891,Architecture China
892,Animal housing
893,Zoos
894,Computer network architecture
895,Database design
896,XML Document markup language
897,Van der Ryn Sim
898,Acropolis Athens Greece
899,Athens Greece Buildings structures etc
900,Architecture Domestic England
901,Eclecticism in architecture United States
902,Richardson H H Henry Hobson 1838 1886 Criticism and interpretation
903,Architecture and cosmology India
904,Architecture Hindu India
905,Hindu architecture India
906,Vastu India
907,Architecture Soviet Union
908,Architecture Soviet Union 20th century
909,Architecture Soviet Union History 20th century
910,Socialist realism and architecture Soviet Union
911,Art Medieval
912,Christian art and symbolism Medieval 500 1500
913,Architecture Mexico History
914,Indian architecture Mexico
915,Art Spanish 20th century
916,Architecture Brazil
917,Architecture Colonial Brazil
918,Architecture Colonial South America
919,Architecture South America
920,Art Brazil
921,Art Colonial Brazil
